Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026363,South Kesteven 012D,7,Lives rent free,0
E01026364,South Kesteven 012E,-8,Does not apply,0
E01026364,South Kesteven 012E,0,Owned: Owns outright,419
E01026364,South Kesteven 012E,1,Owned: Owns with a mortgage or loan,258
E01026364,South Kesteven 012E,2,Shared ownership: Shared ownership,12
E01026364,South Kesteven 012E,3,Social rented: Rents from council or Local Authority,42
E01026364,South Kesteven 012E,4,Social rented: Other social rented,14
E01026364,South Kesteven 012E,5,Private rented: Private landlord or letting agency,54
E01026364,South Kesteven 012E,6,Private rented: Other private rented,15
E01026364,South Kesteven 012E,7,Lives rent free,0
E01026365,South Kesteven 002D,-8,Does not apply,0
E01026365,South Kesteven 002D,0,Owned: Owns outright,607
E01026365,South Kesteven 002D,1,Owned: Owns with a mortgage or loan,283
E01026365,South Kesteven 002D,2,Shared ownership: Shared ownership,3
E01026365,South Kesteven 002D,3,Social rented: Rents from council or Local Authority,40
E01026365,South Kesteven 002D,4,Social rented: Other social rented,6
E01026365,South Kesteven 002D,5,Private rented: Private landlord or letting agency,58
E01026365,South Kesteven 002D,6,Private rented: Other private rented,27
E01026365,South Kesteven 002D,7,Lives rent free,0
E01026366,West Lindsey 011A,-8,Does not apply,0
E01026366,West Lindsey 011A,0,Owned: Owns outright,419
E01026366,West Lindsey 011A,1,Owned: Owns with a mortgage or loan,334
E01026366,West Lindsey 011A,2,Shared ownership: Shared ownership,25
E01026366,West Lindsey 011A,3,Social rented: Rents from council or Local Authority,24
E01026366,West Lindsey 011A,4,Social rented: Other social rented,144
E01026366,West Lindsey 011A,5,Private rented: Private landlord or letting agency,93
E01026366,West Lindsey 011A,6,Private rented: Other private rented,31
E01026366,West Lindsey 011A,7,Lives rent free,0
E01026367,West Lindsey 001A,-8,Does not apply,0
E01026367,West Lindsey 001A,0,Owned: Owns outright,270
E01026367,West Lindsey 001A,1,Owned: Owns with a mortgage or loan,139
E01026367,West Lindsey 001A,2,Shared ownership: Shared ownership,0
E01026367,West Lindsey 001A,3,Social rented: Rents from council or Local Authority,39
E01026367,West Lindsey 001A,4,Social rented: Other social rented,123
E01026367,West Lindsey 001A,5,Private rented: Private landlord or letting agency,193
E01026367,West Lindsey 001A,6,Private rented: Other private rented,37
E01026367,West Lindsey 001A,7,Lives rent free,0
E01026368,West Lindsey 001B,-8,Does not apply,0
E01026368,West Lindsey 001B,0,Owned: Owns outright,362
E01026368,West Lindsey 001B,1,Owned: Owns with a mortgage or loan,294
E01026368,West Lindsey 001B,2,Shared ownership: Shared ownership,9
E01026368,West Lindsey 001B,3,Social rented: Rents from council or Local Authority,15
E01026368,West Lindsey 001B,4,Social rented: Other social rented,46
E01026368,West Lindsey 001B,5,Private rented: Private landlord or letting agency,99
E01026368,West Lindsey 001B,6,Private rented: Other private rented,18
E01026368,West Lindsey 001B,7,Lives rent free,0
E01026369,West Lindsey 011B,-8,Does not apply,0
E01026369,West Lindsey 011B,0,Owned: Owns outright,233
E01026369,West Lindsey 011B,1,Owned: Owns with a mortgage or loan,175
E01026369,West Lindsey 011B,2,Shared ownership: Shared ownership,4
E01026369,West Lindsey 011B,3,Social rented: Rents from council or Local Authority,13
E01026369,West Lindsey 011B,4,Social rented: Other social rented,79
E01026369,West Lindsey 011B,5,Private rented: Private landlord or letting agency,70
E01026369,West Lindsey 011B,6,Private rented: Other private rented,19
E01026369,West Lindsey 011B,7,Lives rent free,0
E01026370,West Lindsey 011C,-8,Does not apply,0
E01026370,West Lindsey 011C,0,Owned: Owns outright,527
E01026370,West Lindsey 011C,1,Owned: Owns with a mortgage or loan,423
E01026370,West Lindsey 011C,2,Shared ownership: Shared ownership,7
E01026370,West Lindsey 011C,3,Social rented: Rents from council or Local Authority,7
E01026370,West Lindsey 011C,4,Social rented: Other social rented,30
E01026370,West Lindsey 011C,5,Private rented: Private landlord or letting agency,141
E01026370,West Lindsey 011C,6,Private rented: Other private rented,17
E01026370,West Lindsey 011C,7,Lives rent free,2
E01026371,West Lindsey 011D,-8,Does not apply,0
E01026371,West Lindsey 011D,0,Owned: Owns outright,297
E01026371,West Lindsey 011D,1,Owned: Owns with a mortgage or loan,186
E01026371,West Lindsey 011D,2,Shared ownership: Shared ownership,2
E01026371,West Lindsey 011D,3,Social rented: Rents from council or Local Authority,1
E01026371,West Lindsey 011D,4,Social rented: Other social rented,6
E01026371,West Lindsey 011D,5,Private rented: Private landlord or letting agency,32
E01026371,West Lindsey 011D,6,Private rented: Other private rented,5
E01026371,West Lindsey 011D,7,Lives rent free,0
E01026372,West Lindsey 008A,-8,Does not apply,0
E01026372,West Lindsey 008A,0,Owned: Owns outright,519
E01026372,West Lindsey 008A,1,Owned: Owns with a mortgage or loan,343
E01026372,West Lindsey 008A,2,Shared ownership: Shared ownership,22
E01026372,West Lindsey 008A,3,Social rented: Rents from council or Local Authority,22
E01026372,West Lindsey 008A,4,Social rented: Other social rented,67
E01026372,West Lindsey 008A,5,Private rented: Private landlord or letting agency,79
E01026372,West Lindsey 008A,6,Private rented: Other private rented,28
E01026372,West Lindsey 008A,7,Lives rent free,1
E01026373,West Lindsey 011E,-8,Does not apply,0
E01026373,West Lindsey 011E,0,Owned: Owns outright,447
E01026373,West Lindsey 011E,1,Owned: Owns with a mortgage or loan,311
E01026373,West Lindsey 011E,2,Shared ownership: Shared ownership,8
E01026373,West Lindsey 011E,3,Social rented: Rents from council or Local Authority,17
E01026373,West Lindsey 011E,4,Social rented: Other social rented,62
E01026373,West Lindsey 011E,5,Private rented: Private landlord or letting agency,77
E01026373,West Lindsey 011E,6,Private rented: Other private rented,20
E01026373,West Lindsey 011E,7,Lives rent free,0
E01026374,West Lindsey 006A,-8,Does not apply,0
E01026374,West Lindsey 006A,0,Owned: Owns outright,82
E01026374,West Lindsey 006A,1,Owned: Owns with a mortgage or loan,86
E01026374,West Lindsey 006A,2,Shared ownership: Shared ownership,2
E01026374,West Lindsey 006A,3,Social rented: Rents from council or Local Authority,165
E01026374,West Lindsey 006A,4,Social rented: Other social rented,219
E01026374,West Lindsey 006A,5,Private rented: Private landlord or letting agency,54
E01026374,West Lindsey 006A,6,Private rented: Other private rented,7
E01026374,West Lindsey 006A,7,Lives rent free,2
E01026375,West Lindsey 006B,-8,Does not apply,0
E01026375,West Lindsey 006B,0,Owned: Owns outright,189
E01026375,West Lindsey 006B,1,Owned: Owns with a mortgage or loan,179
E01026375,West Lindsey 006B,2,Shared ownership: Shared ownership,10
E01026375,West Lindsey 006B,3,Social rented: Rents from council or Local Authority,101
E01026375,West Lindsey 006B,4,Social rented: Other social rented,201
E01026375,West Lindsey 006B,5,Private rented: Private landlord or letting agency,154
E01026375,West Lindsey 006B,6,Private rented: Other private rented,12
E01026375,West Lindsey 006B,7,Lives rent free,0
E01026376,West Lindsey 006C,-8,Does not apply,0
E01026376,West Lindsey 006C,0,Owned: Owns outright,226
E01026376,West Lindsey 006C,1,Owned: Owns with a mortgage or loan,124
E01026376,West Lindsey 006C,2,Shared ownership: Shared ownership,3
E01026376,West Lindsey 006C,3,Social rented: Rents from council or Local Authority,114
E01026376,West Lindsey 006C,4,Social rented: Other social rented,200
E01026376,West Lindsey 006C,5,Private rented: Private landlord or letting agency,77
E01026376,West Lindsey 006C,6,Private rented: Other private rented,15
E01026376,West Lindsey 006C,7,Lives rent free,0
E01026377,West Lindsey 006D,-8,Does not apply,0
E01026377,West Lindsey 006D,0,Owned: Owns outright,238
E01026377,West Lindsey 006D,1,Owned: Owns with a mortgage or loan,290
E01026377,West Lindsey 006D,2,Shared ownership: Shared ownership,18
E01026377,West Lindsey 006D,3,Social rented: Rents from council or Local Authority,105
E01026377,West Lindsey 006D,4,Social rented: Other social rented,148
E01026377,West Lindsey 006D,5,Private rented: Private landlord or letting agency,100
E01026377,West Lindsey 006D,6,Private rented: Other private rented,15
E01026377,West Lindsey 006D,7,Lives rent free,3
E01026378,West Lindsey 004A,-8,Does not apply,0
E01026378,West Lindsey 004A,0,Owned: Owns outright,219
E01026378,West Lindsey 004A,1,Owned: Owns with a mortgage or loan,162
E01026378,West Lindsey 004A,2,Shared ownership: Shared ownership,1
E01026378,West Lindsey 004A,3,Social rented: Rents from council or Local Authority,29
E01026378,West Lindsey 004A,4,Social rented: Other social rented,78
E01026378,West Lindsey 004A,5,Private rented: Private landlord or letting agency,236
E01026378,West Lindsey 004A,6,Private rented: Other private rented,10
E01026378,West Lindsey 004A,7,Lives rent free,3
E01026379,West Lindsey 004B,-8,Does not apply,0
E01026379,West Lindsey 004B,0,Owned: Owns outright,291
E01026379,West Lindsey 004B,1,Owned: Owns with a mortgage or loan,212
E01026379,West Lindsey 004B,2,Shared ownership: Shared ownership,2
E01026379,West Lindsey 004B,3,Social rented: Rents from council or Local Authority,13
E01026379,West Lindsey 004B,4,Social rented: Other social rented,53
E01026379,West Lindsey 004B,5,Private rented: Private landlord or letting agency,233
E01026379,West Lindsey 004B,6,Private rented: Other private rented,21
E01026379,West Lindsey 004B,7,Lives rent free,1
E01026380,West Lindsey 002A,-8,Does not apply,0
E01026380,West Lindsey 002A,0,Owned: Owns outright,339
E01026380,West Lindsey 002A,1,Owned: Owns with a mortgage or loan,440
E01026380,West Lindsey 002A,2,Shared ownership: Shared ownership,1
E01026380,West Lindsey 002A,3,Social rented: Rents from council or Local Authority,33
E01026380,West Lindsey 002A,4,Social rented: Other social rented,59
E01026380,West Lindsey 002A,5,Private rented: Private landlord or letting agency,189
E01026380,West Lindsey 002A,6,Private rented: Other private rented,16
E01026380,West Lindsey 002A,7,Lives rent free,0
E01026381,West Lindsey 004C,-8,Does not apply,0
E01026381,West Lindsey 004C,0,Owned: Owns outright,252
E01026381,West Lindsey 004C,1,Owned: Owns with a mortgage or loan,189
E01026381,West Lindsey 004C,2,Shared ownership: Shared ownership,18
E01026381,West Lindsey 004C,3,Social rented: Rents from council or Local Authority,33
E01026381,West Lindsey 004C,4,Social rented: Other social rented,174
E01026381,West Lindsey 004C,5,Private rented: Private landlord or letting agency,197
E01026381,West Lindsey 004C,6,Private rented: Other private rented,14
E01026381,West Lindsey 004C,7,Lives rent free,0
E01026382,West Lindsey 004D,-8,Does not apply,0
E01026382,West Lindsey 004D,0,Owned: Owns outright,260
E01026382,West Lindsey 004D,1,Owned: Owns with a mortgage or loan,225
E01026382,West Lindsey 004D,2,Shared ownership: Shared ownership,4
E01026382,West Lindsey 004D,3,Social rented: Rents from council or Local Authority,10
E01026382,West Lindsey 004D,4,Social rented: Other social rented,41
E01026382,West Lindsey 004D,5,Private rented: Private landlord or letting agency,225
E01026382,West Lindsey 004D,6,Private rented: Other private rented,21
E01026382,West Lindsey 004D,7,Lives rent free,1
E01026383,West Lindsey 004E,-8,Does not apply,0
E01026383,West Lindsey 004E,0,Owned: Owns outright,143
E01026383,West Lindsey 004E,1,Owned: Owns with a mortgage or loan,75
E01026383,West Lindsey 004E,2,Shared ownership: Shared ownership,3
E01026383,West Lindsey 004E,3,Social rented: Rents from council or Local Authority,13
E01026383,West Lindsey 004E,4,Social rented: Other social rented,51
E01026383,West Lindsey 004E,5,Private rented: Private landlord or letting agency,429
E01026383,West Lindsey 004E,6,Private rented: Other private rented,20
E01026383,West Lindsey 004E,7,Lives rent free,0
E01026384,West Lindsey 004F,-8,Does not apply,0
E01026384,West Lindsey 004F,0,Owned: Owns outright,222
E01026384,West Lindsey 004F,1,Owned: Owns with a mortgage or loan,180
E01026384,West Lindsey 004F,2,Shared ownership: Shared ownership,8
E01026384,West Lindsey 004F,3,Social rented: Rents from council or Local Authority,29
E01026384,West Lindsey 004F,4,Social rented: Other social rented,160
E01026384,West Lindsey 004F,5,Private rented: Private landlord or letting agency,477
E01026384,West Lindsey 004F,6,Private rented: Other private rented,26
E01026384,West Lindsey 004F,7,Lives rent free,0
E01026385,West Lindsey 005A,-8,Does not apply,0
E01026385,West Lindsey 005A,0,Owned: Owns outright,252
E01026385,West Lindsey 005A,1,Owned: Owns with a mortgage or loan,115
E01026385,West Lindsey 005A,2,Shared ownership: Shared ownership,4
E01026385,West Lindsey 005A,3,Social rented: Rents from council or Local Authority,7
E01026385,West Lindsey 005A,4,Social rented: Other social rented,21
E01026385,West Lindsey 005A,5,Private rented: Private landlord or letting agency,81
E01026385,West Lindsey 005A,6,Private rented: Other private rented,16
E01026385,West Lindsey 005A,7,Lives rent free,0
E01026386,West Lindsey 005B,-8,Does not apply,0
E01026386,West Lindsey 005B,0,Owned: Owns outright,149
E01026386,West Lindsey 005B,1,Owned: Owns with a mortgage or loan,130
E01026386,West Lindsey 005B,2,Shared ownership: Shared ownership,1
E01026386,West Lindsey 005B,3,Social rented: Rents from council or Local Authority,8
E01026386,West Lindsey 005B,4,Social rented: Other social rented,15
E01026386,West Lindsey 005B,5,Private rented: Private landlord or letting agency,200
E01026386,West Lindsey 005B,6,Private rented: Other private rented,32
E01026386,West Lindsey 005B,7,Lives rent free,0
E01026387,West Lindsey 001C,-8,Does not apply,0
E01026387,West Lindsey 001C,0,Owned: Owns outright,587
E01026387,West Lindsey 001C,1,Owned: Owns with a mortgage or loan,346
E01026387,West Lindsey 001C,2,Shared ownership: Shared ownership,3
E01026387,West Lindsey 001C,3,Social rented: Rents from council or Local Authority,14
E01026387,West Lindsey 001C,4,Social rented: Other social rented,62
E01026387,West Lindsey 001C,5,Private rented: Private landlord or letting agency,92
E01026387,West Lindsey 001C,6,Private rented: Other private rented,38
E01026387,West Lindsey 001C,7,Lives rent free,2
E01026388,West Lindsey 007A,-8,Does not apply,0
E01026388,West Lindsey 007A,0,Owned: Owns outright,535
E01026388,West Lindsey 007A,1,Owned: Owns with a mortgage or loan,289
E01026388,West Lindsey 007A,2,Shared ownership: Shared ownership,5
E01026388,West Lindsey 007A,3,Social rented: Rents from council or Local Authority,3
E01026388,West Lindsey 007A,4,Social rented: Other social rented,34
E01026388,West Lindsey 007A,5,Private rented: Private landlord or letting agency,80
E01026388,West Lindsey 007A,6,Private rented: Other private rented,18
E01026388,West Lindsey 007A,7,Lives rent free,0
E01026389,West Lindsey 003A,-8,Does not apply,0
E01026389,West Lindsey 003A,0,Owned: Owns outright,334
E01026389,West Lindsey 003A,1,Owned: Owns with a mortgage or loan,220
E01026389,West Lindsey 003A,2,Shared ownership: Shared ownership,4
E01026389,West Lindsey 003A,3,Social rented: Rents from council or Local Authority,8
E01026389,West Lindsey 003A,4,Social rented: Other social rented,38
E01026389,West Lindsey 003A,5,Private rented: Private landlord or letting agency,279
E01026389,West Lindsey 003A,6,Private rented: Other private rented,27
E01026389,West Lindsey 003A,7,Lives rent free,0
E01026390,West Lindsey 003B,-8,Does not apply,0
E01026390,West Lindsey 003B,0,Owned: Owns outright,329
E01026390,West Lindsey 003B,1,Owned: Owns with a mortgage or loan,175
E01026390,West Lindsey 003B,2,Shared ownership: Shared ownership,8
E01026390,West Lindsey 003B,3,Social rented: Rents from council or Local Authority,50
E01026390,West Lindsey 003B,4,Social rented: Other social rented,168
E01026390,West Lindsey 003B,5,Private rented: Private landlord or letting agency,130
E01026390,West Lindsey 003B,6,Private rented: Other private rented,15
E01026390,West Lindsey 003B,7,Lives rent free,2
E01026391,West Lindsey 003C,-8,Does not apply,0
E01026391,West Lindsey 003C,0,Owned: Owns outright,478
E01026391,West Lindsey 003C,1,Owned: Owns with a mortgage or loan,226
E01026391,West Lindsey 003C,2,Shared ownership: Shared ownership,13
E01026391,West Lindsey 003C,3,Social rented: Rents from council or Local Authority,8
E01026391,West Lindsey 003C,4,Social rented: Other social rented,36
E01026391,West Lindsey 003C,5,Private rented: Private landlord or letting agency,109
E01026391,West Lindsey 003C,6,Private rented: Other private rented,25
E01026391,West Lindsey 003C,7,Lives rent free,2
E01026392,West Lindsey 003D,-8,Does not apply,0
E01026392,West Lindsey 003D,0,Owned: Owns outright,673
E01026392,West Lindsey 003D,1,Owned: Owns with a mortgage or loan,391
E01026392,West Lindsey 003D,2,Shared ownership: Shared ownership,8
E01026392,West Lindsey 003D,3,Social rented: Rents from council or Local Authority,18
E01026392,West Lindsey 003D,4,Social rented: Other social rented,75
E01026392,West Lindsey 003D,5,Private rented: Private landlord or letting agency,142
E01026392,West Lindsey 003D,6,Private rented: Other private rented,31
E01026392,West Lindsey 003D,7,Lives rent free,0
E01026393,West Lindsey 010A,-8,Does not apply,0
E01026393,West Lindsey 010A,0,Owned: Owns outright,413
E01026393,West Lindsey 010A,1,Owned: Owns with a mortgage or loan,201
E01026393,West Lindsey 010A,2,Shared ownership: Shared ownership,7
E01026393,West Lindsey 010A,3,Social rented: Rents from council or Local Authority,0
E01026393,West Lindsey 010A,4,Social rented: Other social rented,9
E01026393,West Lindsey 010A,5,Private rented: Private landlord or letting agency,40
E01026393,West Lindsey 010A,6,Private rented: Other private rented,18
E01026393,West Lindsey 010A,7,Lives rent free,0
E01026394,West Lindsey 010B,-8,Does not apply,0
E01026394,West Lindsey 010B,0,Owned: Owns outright,325
E01026394,West Lindsey 010B,1,Owned: Owns with a mortgage or loan,403
E01026394,West Lindsey 010B,2,Shared ownership: Shared ownership,5
E01026394,West Lindsey 010B,3,Social rented: Rents from council or Local Authority,18
E01026394,West Lindsey 010B,4,Social rented: Other social rented,60
E01026394,West Lindsey 010B,5,Private rented: Private landlord or letting agency,158
E01026394,West Lindsey 010B,6,Private rented: Other private rented,23
E01026394,West Lindsey 010B,7,Lives rent free,1
E01026395,West Lindsey 010C,-8,Does not apply,0
E01026395,West Lindsey 010C,0,Owned: Owns outright,419
E01026395,West Lindsey 010C,1,Owned: Owns with a mortgage or loan,169
E01026395,West Lindsey 010C,2,Shared ownership: Shared ownership,16
E01026395,West Lindsey 010C,3,Social rented: Rents from council or Local Authority,6
E01026395,West Lindsey 010C,4,Social rented: Other social rented,65
E01026395,West Lindsey 010C,5,Private rented: Private landlord or letting agency,65
E01026395,West Lindsey 010C,6,Private rented: Other private rented,12
E01026395,West Lindsey 010C,7,Lives rent free,0
E01026396,West Lindsey 009A,-8,Does not apply,0
E01026396,West Lindsey 009A,0,Owned: Owns outright,383
E01026396,West Lindsey 009A,1,Owned: Owns with a mortgage or loan,156
E01026396,West Lindsey 009A,2,Shared ownership: Shared ownership,23
E01026396,West Lindsey 009A,3,Social rented: Rents from council or Local Authority,3
E01026396,West Lindsey 009A,4,Social rented: Other social rented,26
E01026396,West Lindsey 009A,5,Private rented: Private landlord or letting agency,37
E01026396,West Lindsey 009A,6,Private rented: Other private rented,11
E01026396,West Lindsey 009A,7,Lives rent free,0
E01026398,West Lindsey 009C,-8,Does not apply,0
E01026398,West Lindsey 009C,0,Owned: Owns outright,289
E01026398,West Lindsey 009C,1,Owned: Owns with a mortgage or loan,199
E01026398,West Lindsey 009C,2,Shared ownership: Shared ownership,25
E01026398,West Lindsey 009C,3,Social rented: Rents from council or Local Authority,31
E01026398,West Lindsey 009C,4,Social rented: Other social rented,127
E01026398,West Lindsey 009C,5,Private rented: Private landlord or letting agency,95
E01026398,West Lindsey 009C,6,Private rented: Other private rented,17
E01026398,West Lindsey 009C,7,Lives rent free,1
E01026399,West Lindsey 005C,-8,Does not apply,0
E01026399,West Lindsey 005C,0,Owned: Owns outright,249
E01026399,West Lindsey 005C,1,Owned: Owns with a mortgage or loan,247
E01026399,West Lindsey 005C,2,Shared ownership: Shared ownership,2
E01026399,West Lindsey 005C,3,Social rented: Rents from council or Local Authority,12
E01026399,West Lindsey 005C,4,Social rented: Other social rented,45
E01026399,West Lindsey 005C,5,Private rented: Private landlord or letting agency,79
E01026399,West Lindsey 005C,6,Private rented: Other private rented,19
E01026399,West Lindsey 005C,7,Lives rent free,0
E01026400,West Lindsey 009D,-8,Does not apply,0
E01026400,West Lindsey 009D,0,Owned: Owns outright,140
E01026400,West Lindsey 009D,1,Owned: Owns with a mortgage or loan,260
E01026400,West Lindsey 009D,2,Shared ownership: Shared ownership,0
E01026400,West Lindsey 009D,3,Social rented: Rents from council or Local Authority,1
E01026400,West Lindsey 009D,4,Social rented: Other social rented,7
E01026400,West Lindsey 009D,5,Private rented: Private landlord or letting agency,105
E01026400,West Lindsey 009D,6,Private rented: Other private rented,95
E01026400,West Lindsey 009D,7,Lives rent free,0
E01026401,West Lindsey 002B,-8,Does not apply,0
E01026401,West Lindsey 002B,0,Owned: Owns outright,363
E01026401,West Lindsey 002B,1,Owned: Owns with a mortgage or loan,221
E01026401,West Lindsey 002B,2,Shared ownership: Shared ownership,0
E01026401,West Lindsey 002B,3,Social rented: Rents from council or Local Authority,3
E01026401,West Lindsey 002B,4,Social rented: Other social rented,4
E01026401,West Lindsey 002B,5,Private rented: Private landlord or letting agency,48
E01026401,West Lindsey 002B,6,Private rented: Other private rented,14
E01026401,West Lindsey 002B,7,Lives rent free,0
E01026402,West Lindsey 002C,-8,Does not apply,0
E01026402,West Lindsey 002C,0,Owned: Owns outright,404
E01026402,West Lindsey 002C,1,Owned: Owns with a mortgage or loan,273
E01026402,West Lindsey 002C,2,Shared ownership: Shared ownership,10
E01026402,West Lindsey 002C,3,Social rented: Rents from council or Local Authority,11
E01026402,West Lindsey 002C,4,Social rented: Other social rented,20
E01026402,West Lindsey 002C,5,Private rented: Private landlord or letting agency,119
E01026402,West Lindsey 002C,6,Private rented: Other private rented,17
E01026402,West Lindsey 002C,7,Lives rent free,0
E01026403,West Lindsey 002D,-8,Does not apply,0
E01026403,West Lindsey 002D,0,Owned: Owns outright,262
E01026403,West Lindsey 002D,1,Owned: Owns with a mortgage or loan,191
E01026403,West Lindsey 002D,2,Shared ownership: Shared ownership,6
E01026403,West Lindsey 002D,3,Social rented: Rents from council or Local Authority,17
E01026403,West Lindsey 002D,4,Social rented: Other social rented,34
E01026403,West Lindsey 002D,5,Private rented: Private landlord or letting agency,32
E01026403,West Lindsey 002D,6,Private rented: Other private rented,14
E01026403,West Lindsey 002D,7,Lives rent free,0
E01026404,West Lindsey 007B,-8,Does not apply,0
E01026404,West Lindsey 007B,0,Owned: Owns outright,470
E01026404,West Lindsey 007B,1,Owned: Owns with a mortgage or loan,366
E01026404,West Lindsey 007B,2,Shared ownership: Shared ownership,2
E01026404,West Lindsey 007B,3,Social rented: Rents from council or Local Authority,26
E01026404,West Lindsey 007B,4,Social rented: Other social rented,69
E01026404,West Lindsey 007B,5,Private rented: Private landlord or letting agency,99
E01026404,West Lindsey 007B,6,Private rented: Other private rented,27
E01026404,West Lindsey 007B,7,Lives rent free,0
E01026405,West Lindsey 010D,-8,Does not apply,0
E01026405,West Lindsey 010D,0,Owned: Owns outright,267
E01026405,West Lindsey 010D,1,Owned: Owns with a mortgage or loan,233
E01026405,West Lindsey 010D,2,Shared ownership: Shared ownership,11
E01026405,West Lindsey 010D,3,Social rented: Rents from council or Local Authority,14
E01026405,West Lindsey 010D,4,Social rented: Other social rented,27
E01026405,West Lindsey 010D,5,Private rented: Private landlord or letting agency,38
E01026405,West Lindsey 010D,6,Private rented: Other private rented,17
E01026405,West Lindsey 010D,7,Lives rent free,0
E01026406,West Lindsey 010E,-8,Does not apply,0
E01026406,West Lindsey 010E,0,Owned: Owns outright,292
E01026406,West Lindsey 010E,1,Owned: Owns with a mortgage or loan,187
E01026406,West Lindsey 010E,2,Shared ownership: Shared ownership,0
E01026406,West Lindsey 010E,3,Social rented: Rents from council or Local Authority,1
E01026406,West Lindsey 010E,4,Social rented: Other social rented,2
E01026406,West Lindsey 010E,5,Private rented: Private landlord or letting agency,20
E01026406,West Lindsey 010E,6,Private rented: Other private rented,12
E01026406,West Lindsey 010E,7,Lives rent free,0
E01026407,West Lindsey 002E,-8,Does not apply,0
E01026407,West Lindsey 002E,0,Owned: Owns outright,224
E01026407,West Lindsey 002E,1,Owned: Owns with a mortgage or loan,210
E01026407,West Lindsey 002E,2,Shared ownership: Shared ownership,2
E01026407,West Lindsey 002E,3,Social rented: Rents from council or Local Authority,24
E01026407,West Lindsey 002E,4,Social rented: Other social rented,43
E01026407,West Lindsey 002E,5,Private rented: Private landlord or letting agency,76
E01026407,West Lindsey 002E,6,Private rented: Other private rented,16
E01026407,West Lindsey 002E,7,Lives rent free,0
E01026408,West Lindsey 002F,-8,Does not apply,0
E01026408,West Lindsey 002F,0,Owned: Owns outright,287
E01026408,West Lindsey 002F,1,Owned: Owns with a mortgage or loan,159
E01026408,West Lindsey 002F,2,Shared ownership: Shared ownership,10
E01026408,West Lindsey 002F,3,Social rented: Rents from council or Local Authority,17
E01026408,West Lindsey 002F,4,Social rented: Other social rented,48
E01026408,West Lindsey 002F,5,Private rented: Private landlord or letting agency,64
E01026408,West Lindsey 002F,6,Private rented: Other private rented,10
E01026408,West Lindsey 002F,7,Lives rent free,0
E01026409,West Lindsey 007C,-8,Does not apply,0
E01026409,West Lindsey 007C,0,Owned: Owns outright,257
E01026409,West Lindsey 007C,1,Owned: Owns with a mortgage or loan,202
E01026409,West Lindsey 007C,2,Shared ownership: Shared ownership,1
E01026409,West Lindsey 007C,3,Social rented: Rents from council or Local Authority,10
E01026409,West Lindsey 007C,4,Social rented: Other social rented,25
E01026409,West Lindsey 007C,5,Private rented: Private landlord or letting agency,41
E01026409,West Lindsey 007C,6,Private rented: Other private rented,28
E01026409,West Lindsey 007C,7,Lives rent free,0
E01026410,West Lindsey 007D,-8,Does not apply,0
E01026410,West Lindsey 007D,0,Owned: Owns outright,528
E01026410,West Lindsey 007D,1,Owned: Owns with a mortgage or loan,138
E01026410,West Lindsey 007D,2,Shared ownership: Shared ownership,2
E01026410,West Lindsey 007D,3,Social rented: Rents from council or Local Authority,13
E01026410,West Lindsey 007D,4,Social rented: Other social rented,37
E01026410,West Lindsey 007D,5,Private rented: Private landlord or letting agency,45
E01026410,West Lindsey 007D,6,Private rented: Other private rented,20
E01026410,West Lindsey 007D,7,Lives rent free,0
E01026411,West Lindsey 005D,-8,Does not apply,0
E01026411,West Lindsey 005D,0,Owned: Owns outright,513
E01026411,West Lindsey 005D,1,Owned: Owns with a mortgage or loan,313
E01026411,West Lindsey 005D,2,Shared ownership: Shared ownership,3
E01026411,West Lindsey 005D,3,Social rented: Rents from council or Local Authority,17
E01026411,West Lindsey 005D,4,Social rented: Other social rented,58
E01026411,West Lindsey 005D,5,Private rented: Private landlord or letting agency,151
E01026411,West Lindsey 005D,6,Private rented: Other private rented,47
E01026411,West Lindsey 005D,7,Lives rent free,0
E01026412,West Lindsey 008B,-8,Does not apply,0
E01026412,West Lindsey 008B,0,Owned: Owns outright,381
E01026412,West Lindsey 008B,1,Owned: Owns with a mortgage or loan,258
E01026412,West Lindsey 008B,2,Shared ownership: Shared ownership,20
E01026412,West Lindsey 008B,3,Social rented: Rents from council or Local Authority,22
E01026412,West Lindsey 008B,4,Social rented: Other social rented,70
E01026412,West Lindsey 008B,5,Private rented: Private landlord or letting agency,74
E01026412,West Lindsey 008B,6,Private rented: Other private rented,21
E01026412,West Lindsey 008B,7,Lives rent free,0
E01026413,West Lindsey 008C,-8,Does not apply,0
E01026413,West Lindsey 008C,0,Owned: Owns outright,465
E01026413,West Lindsey 008C,1,Owned: Owns with a mortgage or loan,305
E01026413,West Lindsey 008C,2,Shared ownership: Shared ownership,7
E01026413,West Lindsey 008C,3,Social rented: Rents from council or Local Authority,2
E01026413,West Lindsey 008C,4,Social rented: Other social rented,30
E01026413,West Lindsey 008C,5,Private rented: Private landlord or letting agency,70
E01026413,West Lindsey 008C,6,Private rented: Other private rented,14
E01026413,West Lindsey 008C,7,Lives rent free,0
E01026414,West Lindsey 008D,-8,Does not apply,0
E01026414,West Lindsey 008D,0,Owned: Owns outright,326
E01026414,West Lindsey 008D,1,Owned: Owns with a mortgage or loan,276
E01026414,West Lindsey 008D,2,Shared ownership: Shared ownership,16
